AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,LATITUDE,LONGITUDE
DHI,Dhangadhi Airport,"Dhangadhi, Nepal",28.75527778,80.58333333
DHL,Dhala Airport,"Dhala, Yemen",13.7375,44.72916667
DHN,Dothan Regional,"Dothan, AL",31.32111111,-85.44944444
DHT,Dalhart Municipal,"Dalhart, TX",36.0225,-102.5475
DIB,Dibrugarh Airport,"Dibrugarh, India",27.48361111,95.0175
DIE,Arrachart,"Antsiranana, Madagascar",-12.34944444,49.29166667
DIG,Zhongdian,"Shangri-La, China",27.79222222,99.67805556
DIJ,Dijon Longvic,"Dijon, France",47.26888889,5.09
DIK,Dickinson - Theodore Roosevelt Regional,"Dickinson, ND",46.79722222,-102.8019444
DIL,Presidente Nicolau Lobato International,"Dili, Timor-Leste",-8.54638889,125.5247222
DIO,Diomede Heliport,"Diomede Island, AK",65.75861111,-168.9530556
DIR,Aba Tenna Dejazmatch Yilma,"Dire Dawa, Ethiopia",9.62222222,41.85083333
DIS,Dolisie Airport,"Dolisie, Congo (Brazaville)",-4.20611111,12.65972222
DIU,Diu Airport,"Diu, India",20.71361111,70.92361111
DIV,Divo Airport,"Divo, Cote d'Ivoire",5.83333333,-5.36666667
DIY,Diyarbakir Airport,"Diyarbakir, Turkey",37.89388889,40.20111111
DJB,Paalmerah,"Jambi, Indonesia",-1.63472222,103.6416667
DJE,Djerba Airport,"Djerba, Tunisia",33.87555556,10.77722222
DJG,Tiska,"Djanet, Algeria",24.29277778,9.4525
DJJ,Sentani,"Jayapura, Indonesia",-2.57916667,140.5194444
DJN,Delta Junction Airport,"Delta Junction, AK",64.05,-145.7225
DJO,Daloa Airport,"Daloa, Cote d'Ivoire",6.79277778,-6.47333333
DK1,Kolding Vamdrup Airport,"Kolding Vamdrup, Denmark",55.43638889,9.33083333
DKI,Kyboola,"Dunk Island, Australia",-17.94166667,146.1366667
DKK,Chautauqua County/Dunkirk,"Dunkirk, NY",42.49388889,-79.27111111
DKR,Leopold Sedar Senghor International,"Dakar, Senegal",14.74,-17.49055556
DLA,Douala Airport,"Douala, Cameroon",4.00611111,9.71944444
DLC,Zhoushuizi,"Dalian, China",38.96555556,121.5386111
DLF,Laughlin AFB,"Del Rio, TX",29.35944444,-100.7780556
DLG,Dillingham Airport,"Dillingham, AK",59.04472222,-158.5055556
DLH,Duluth International,"Duluth, MN",46.84194444,-92.19333333
DLI,Lienkhang,"Dalat, Vietnam",11.74972222,108.3777778
DLL,Dillon County,"Dillon, SC",34.44916667,-79.36861111
DLM,Dalaman Airport,"Dalaman, Turkey",36.71333333,28.79138889
DLO,Dolomi Airport,"Dolomi, AK",55.12222222,-132.05
DLS,Columbia Gorge Regional/The Dalles Municipal,"The Dalles, OR",45.61944444,-121.1683333
DLU,Xiaguan,"Dali City, China",25.65,100.3188889
DMA,Davis Monthan AFB,"Tucson, AZ",32.16638889,-110.8830556
DME,Domodedovo,"Moscow, Russia",55.40861111,37.90638889
DMN,Deming Municipal,"Deming, NM",32.2625,-107.7188889
DMO,Sedalia Regional,"Sedalia, MO",38.7075,-93.17583333
DMU,Manipur Road,"Dimapur, India",25.88388889,93.77361111
DNA,Kadena AB,"Okinawa, Japan",26.35555556,127.7675
DNB,Dunbar Airport,"Dunbar, Australia",-16.01083333,142.3905556
DNC,Duncan Canal Airport,"Duncan Canal, AK",56.75694444,-133.2216667
DND,Dundee Airport,"Dundee, United Kingdom",56.4525,-3.02583333
DNE,Dallas North,"Dallas/Fort Worth, TX",33.07888889,-96.73833333
DNK,Dnipro International,"Dnipropetrovsk, Ukraine",48.35722222,35.10055556
DNL,Daniel Field,"Augusta, GA",33.46666667,-82.03944444
DNN,Dalton Municipal,"Dalton, GA",34.72305556,-84.87027778
DNO,Dianopolis Airport,"Dianopolis, Brazil",-11.59611111,-46.8475
DNQ,Deniliquin Airport,"Deniliquin, Australia",-35.55944444,144.9463889
DNR,Dinard Pleurtuit Saint Malo,"Dinard, France",48.58777778,-2.08
DNV,Vermilion Regional,"Danville, IL",40.19972222,-87.59555556
DNZ,Cardak,"Denizli, Turkey",37.78555556,29.70138889
DOD,Dodoma Airport,"Dodoma, Tanzania",-6.17027778,35.74944444
DOF,Dora Bay Airport,"Dora Bay, AK",55.23333333,-132.2166667
DOG,Dongola Airport,"Dongola, Sudan",19.15388889,30.43
DOH,Doha International,"Doha, Qatar",25.26111111,51.565
DOK,Donetsk International,"Donetsk, Ukraine",48.075,37.72555556
DOL,Deauville Normandie,"Deauville, France",49.36527778,0.15444444
DOM,Douglas Charles,"Marigot, Dominica",15.54666667,-61.30138889
DON,Dos Lagunas Airport,"Dos Lagunas, Guatemala",17.69388889,-89.53111111
DOU,Dourados Airport,"Dourados, Brazil",-22.20194444,-54.92666667
DOV,Dover AFB,"Dover, DE",39.12944444,-75.46583333
DPA,Du Page County,"Chicago, IL",41.91555556,-88.24666667
DPG,Michael AAF,"Dugway, UT",40.1975,-112.935
DPL,Dipolog Airport,"Dipolog, Philippines",8.60138889,123.3416667
DPO,Devonport Airport,"Devonport, Australia",-41.16972222,146.4302778
DPS,Gusti Ngurah Rai International,"Denpasar, Indonesia",-8.74833333,115.1675
AA8,Badami,"Deadhorse, AK",70.1375,-147.0305556
DQB,Montijo Airport,"Montijo, Portugal",38.705,-9.0375
DQC,Sebastian Municipal,"Sebastian, FL",27.81333333,-80.49555556
DQD,Allen H Tigert,"Soda Springs, ID",42.64861111,-111.5819444
DQE,Holtville Airport,"Holtville, CA",32.845,-115.2686111
DQG,Springfield Robertson County,"Springfield, TN",36.53666667,-86.92111111
DQH,Alpine Airstrip,"Alpine, AK",70.34416667,-150.9447222
DQI,Colusa County,"Colusa, CA",39.17888889,-121.9933333
DQJ,Dunn County Weydahl Field,"Killdeer, ND",47.39138889,-102.7719444
DQK,Wheeler-Sack AAF,"Fort Drum, NY",44.05555556,-75.71972222
DQL,Lake Hood,"Anchorage, AK",61.18666667,-149.9652778
DQN,New Smyrna Beach Municipal,"New Smyrna Beach, FL",29.05555556,-80.94888889
DQO,Delhi Municipal,"Delhi, LA",32.41083333,-91.49861111
DQP,Marshall Field,"Georgetown, KY",38.23638889,-89.35861111
DQQ,Cozad Municipal,"Cozad, NE",40.86972222,-100.0041667
DQR,Grand Canyon West,"Peach Springs, AZ",35.98611111,-113.8169444
DQS,Grand Canyon Bar Ten Airstrip,"Whitmore, AZ",36.25638889,-113.2308333
DQT,Boscombe Down,"Boscombe, United Kingdom",51.15361111,-1.74083333
DQU,Neets Bay,"Ketchikan, AK",55.77888889,-131.6013889
DQV,Glacier Point,"Haines, AK",59.1025,-135.3822222
DQW,Hualapai,"Peach Springs, AZ",35.57222222,-113.2925
DQX,Tsui River Airport,"Tsui River, AK",60.07472222,-143.0866667
DQY,Cape Canaveral AFS Skid Strip,"Cape Canaveral, FL",28.4675,-80.56666667
DQZ,Platinum Mine,"Platinum, AK",58.91166667,-161.7138889
DRA,Desert Rock,"Mercury, NV",36.62,-116.0322222
DRB,Derby Airport,"Derby, Australia",-17.37,123.6605556
DRE,Drummond Island Airport,"Drummond Island, MI",46.00944444,-83.74388889
DRF,Drift River Airport,"Drift River, AK",60.58888889,-152.1619444
DRG,Deering Airport,"Deering, AK",66.06916667,-162.7669444
DRN,Dirranbandi Airport,"Dirranbandi, Australia",-28.59166667,148.2166667
DRO,Durango La Plata County,"Durango, CO",37.15166667,-107.7538889
DRS,Dresden Airport,"Dresden, Germany",51.13444444,13.76805556
DRT,Del Rio International,"Del Rio, TX",29.37416667,-100.9272222
DRU,Drummond Airport,"Drummond, MT",46.62083333,-113.205
DRW,Darwin International,"Darwin, Australia",-12.41472222,130.8769444
DSA,Doncaster Sheffield,"Finningley, United Kingdom",53.47527778,-1.00416667
DSD,La Desirade Airport,"La Desirade, Guadeloupe",16.33333333,-61.01666667
DSE,Dessie/Combolcha,"Dessie, Ethiopia",11.0825,39.71166667
DSI,Destin Executive,"Destin, FL",30.4,-86.47138889
DSK,D. I. Khan,"Dera Ismail Khan, Pakistan",31.90944444,70.89666667
DSM,Des Moines International,"Des Moines, IA",41.53388889,-93.66305556
DTA,Delta Municipal,"Delta, UT",39.38361111,-112.5022222
DTH,Furnace Creek,"Death Valley, CA",36.46055556,-116.8797222
DTL,Detroit Lakes-Wething Field,"Detroit Lakes, MN",46.82527778,-95.88555556
DTM,Dortmund Airport,"Dortmund, Germany",51.51916667,7.61444444
DTN,Shreveport Downtown,"Shreveport, LA",32.54083333,-93.74388889
DTO,Denton Enterprise,"Denton, TX",33.20194444,-97.19916667
DTR,Decatur,"Decatur Island, WA",48.51,-122.8030556
DTT,Detroit Metropolitan Area,"Detroit, MI",42.31277778,-83.17861111
DTW,Detroit Metro Wayne County,"Detroit, MI",42.2125,-83.35333333
DUA,Eaker Field,"Durant, OK",33.93333333,-96.4
DUB,Dublin Airport,"Dublin, Ireland",53.425,-6.26305556
DUC,Halliburton Field,"Duncan, OK",34.47138889,-97.95972222
DUD,Dunedin Airport,"Dunedin, New Zealand",-45.92916667,170.1975
DUE,Dundo Airport,"Dundo, Angola",-7.40277778,20.81694444
DUF,Pine Island,"Duck, NC",36.25361111,-75.78861111
DUG,Bisbee Douglas International,"Douglas, AZ",31.46888889,-109.6038889
DUJ,DuBois Regional,"DuBois, PA",41.17833333,-78.89861111
DUQ,Duncan,"Duncan/Quamichan Lake, Canada",48.75472222,-123.7097222
DUR,Louis Botha,"Durban, South Africa",-29.97,30.95
DUS,Duesseldorf,"Dusseldorf, Germany",51.28944444,6.76666667
DUT,Unalaska Airport,"Unalaska, AK",53.89888889,-166.545
DVK,Diavik Airport,"Diavik, Canada",64.51138889,-110.2897222
DVL,Devils Lake Regional,"Devils Lake, ND",48.11666667,-98.91
DVN,Davenport Municipal,"Davenport, IA",41.61027778,-90.58833333
DVO,Francisco Bangoy International,"Davao, Philippines",7.12555556,125.6458333
DVT,Phoenix - Deer Valley,"Phoenix, AZ",33.68833333,-112.0825
DWA,Yolo County,"Davis/Woodland/Winters, CA",38.57944444,-121.8569444
DWH,David Wayne Hooks Memorial,"Houston, TX",30.06166667,-95.55277778
DWS,Walt Disney World,"Orlando, FL",28.38361111,-81.55
DXB,Dubai International,"Dubai, United Arab Emirates",25.25138889,55.37055556
DXR,Danbury Municipal,"Danbury, CT",41.37166667,-73.48222222
DYG,Hehua,"Dayong, China",29.10305556,110.4436111
DYR,Ugolny,"Anadyr, Russia",64.735,177.7383333
DYS,Dyess AFB,"Abilene, TX",32.42055556,-99.85472222
DYU,Dushanbe Airport,"Dushanbe, Tajikistan",38.54361111,68.82444444
DZA,Dzaoudzi-Pamandzi,"Dzaoudzi, Mayotte",-12.80916667,45.28194444
DZO,Durazno Airport,"Durazno, Uruguay",-33.36666667,-56.51666667
EAA,Eagle Airport,"Eagle, AK",64.77805556,-141.1497222
EAG,Eagle Creek Strip,"Noatak, AK",67.56222222,-162.9752778
EAM,Nejran Airport,"Nejran, Saudi Arabia",17.61111111,44.41861111
EAN,Phifer Airfield,"Wheatland, WY",42.05555556,-104.9283333
EAR,Kearney Regional,"Kearney, NE",40.72694444,-99.00666667
EAS,San Sebastian Airport,"San Sebastian, Spain",43.35638889,-1.79055556
EAT,Pangborn Memorial,"Wenatchee, WA",47.39888889,-120.2069444
EAU,Chippewa Valley Regional,"Eau Claire, WI",44.86583333,-91.48416667
EBA,Marina Di Campo,"Elba Island, Italy",42.76083333,10.23972222
EBB,Entebbe International,"Entebbe/Kampala, Uganda",0.04222222,32.44361111
EBD,El Obeid Airport,"El Obeid, Sudan",13.15305556,30.23277778
EBJ,Esbjerg Airport,"Esbjerg, Denmark",55.52583333,8.55361111
EBL,Erbil International,"Erbil, Iraq",36.23805556,43.94666667
EBU,Saint Etienne Loire,"St. Etienne, France",45.54083333,4.29638889
ECA,Iosco County,"East Tawas, MI",44.31277778,-83.42222222
ECG,Elizabeth City CGAS/Regional,"Elizabeth City, NC",36.26055556,-76.17444444
ECN,Ercan Airport,"Ercan, Cyprus",35.15527778,33.50138889
ECP,Northwest Florida Beaches International,"Panama City, FL",30.35833333,-85.79555556
ECS,Mondell Field,"Newcastle, WY",43.88416667,-104.3144444
ECU,Edwards County,"Rocksprings, TX",29.94694444,-100.1738889
EDA,Edna Bay Airport,"Edna Bay, AK",55.93638889,-133.6555556
EDE,Northeastern Regional,"Edenton, NC",36.02777778,-76.56722222
EDF,Elmendorf AFB,"Anchorage, AK",61.25138889,-149.8063889
EDI,Edinburgh Airport,"Edinburgh, United Kingdom",55.95,-3.37277778
EDL,Eldoret Airport,"Eldoret, Kenya",0.53694444,35.28083333
EDW,Edwards AFB,"Edwards, CA",34.91805556,-117.8791667
EED,Needles Airport,"Needles, CA",34.76638889,-114.6233333
EEK,Eek Airport,"Eek, AK",60.21361111,-162.0438889
EEN,Dillant Hopkins,"Keene, NH",42.89833333,-72.27083333
EFB,Eight Fathom Bight Airport,"Eight Fathom Bight, AK",58,-135.7333333
EFD,Ellington,"Houston, TX",29.60722222,-95.15861111
EFK,Northeast Kingdom International,"Newport, VT",44.88805556,-72.22861111
EFL,Argostolion,"Kefallinia Island, Greece",38.11861111,20.49972222
EG1,Sphinx International,"Cairo, Egypt",30.11361111,30.90527778
EG2,Jiyanklis AB,"Jiyanklis, Egypt",30.81944444,30.19166667
EG3,Beni Suef Airport,"Beni Suef, Egypt",29.20833333,31.01666667
EGA,Chenega Airport,"Chenega, AK",60.28333333,-148.0833333
EGC,Bergerac Dordogne Perigord,"Bergerac, France",44.82444444,0.51888889
EGE,Eagle County Regional,"Eagle, CO",39.64277778,-106.9158333
EGI,Duke Field,"Crestview, FL",30.64861111,-86.52194444
EGN,Geneina Airport,"Geneina, Sudan",13.48361111,22.4725
EGP,Eagle Pass Municipal,"Eagle Pass, TX",28.70222222,-100.4805556
EGS,Egilsstadir Airport,"Egilsstadir, Iceland",65.28333333,-14.40138889
EGT,Wellington Municipal,"Wellington, KS",37.325,-97.38833333
EGV,Eagle River Union,"Eagle River, WI",45.93222222,-89.26833333
EGX,Egegik Airport,"Egegik, AK",58.18444444,-157.3747222
EHM,Cape Newenham LRRS,"Cape Newenham, AK",58.64805556,-162.0630556
EHR,Eagle Harbor Airport,"Eagle Harbor, AK",57.41666667,-152.7166667
EHT,Rentschler Heliport,"East Hartford, CT",41.75333333,-72.62833333
EIA,Eia Airport,"Eia, Papua New Guinea",-8.10833333,147.625
EIB,Eisenach Kindel,"Eisenach, Germany",50.99222222,10.47611111
EIL,Eielson AFB,"Fairbanks, AK",64.66555556,-147.1013889
EIN,Eindhoven Airport,"Eindhoven, Netherlands",51.45027778,5.37444444
EIS,Terrance B Lettsome,"Road Town, British Virgin Islands",18.44555556,-64.54138889
EJA,Yariguies,"Barrancabermeja, Colombia",7.02444444,-73.80694444
EJH,Wedjh Airport,"Wedjh, Saudi Arabia",26.19861111,36.47611111
EKA,Murray Field,"Eureka, CA",40.80333333,-124.1127778
EKI,Elkhart Municipal,"Elkhart, IN",41.71944444,-86.00333333
EKN,Elkins-Randolph County-Jennings Randolph Field,"Elkins, WV",38.88944444,-79.85722222
EKO,Elko Regional,"Elko, NV",40.825,-115.7913889
EKX,Addington Field,"Elizabethtown, KY",37.68611111,-85.925
EKY,Bessemer Airport,"Bessemer, AL",33.3125,-86.92638889
ELA,Eagle Lake Airport,"Eagle Lake, TX",29.6,-96.32194444
ELB,El Banco Airport,"El Banco, Colombia",9.04555556,-73.975
ELC,Elcho Island Airport,"Elcho Island, Australia",-12.01944444,135.5705556
ELD,South Arkansas Regional at Goodwin Field,"El Dorado, AR",33.22111111,-92.81166667
ELF,El Fasher Airport,"El Fasher, Sudan",13.615,25.32472222
ELG,El Golea Airport,"El Golea, Algeria",30.57722222,2.86416667
ELH,North Eleuthera Airport,"North Eleuthera, The Bahamas",25.47555556,-76.68138889
ELI,Elim Airport,"Elim, AK",64.615,-162.2705556
ELJ,El Recreo Airport,"El Recreo, Colombia",2,-74.13333333
ELM,Elmira/Corning Regional,"Elmira/Corning, NY",42.15972222,-76.89166667
ELN,Bowers Field,"Ellensburg, WA",47.03305556,-120.5305556
ELP,El Paso International,"El Paso, TX",31.80722222,-106.3763889
ELQ,Prince Naif Bin Abdulaziz,"Gassim, Saudi Arabia",26.30277778,43.77416667
ELS,East London Airport,"East London, South Africa",-33.03555556,27.82583333
ELT,El Tor Airport,"El Tor, Egypt",28.20916667,33.64555556
ELV,Elfin Cove Seaplane Base,"Elfin Cove, AK",58.2,-136.3166667
ELW,Ellamar Seaplane Base,"Ellamar, AK",60.89333333,-146.7083333
ELY,Ely Airport/Yelland Field,"Ely, NV",39.29972222,-114.8419444
EMA,East Midlands,"Derby, United Kingdom",52.83111111,-1.32805556
EMD,Emerald Airport,"Emerald, Australia",-23.57,148.1777778
EMK,Emmonak Airport,"Emmonak, AK",62.78611111,-164.4908333
EMM,Kemmerer Municipal,"Kemmerer, WY",41.82416667,-110.5569444
EMN,Nema Airport,"Nema, Mauritania",16.62166667,-7.31833333
EMP,Emporia Municipal,"Emporia, KS",38.33055556,-96.19
EMT,San Gabriel Valley,"El Monte, CA",34.08611111,-118.0347222
ENA,Kenai Municipal,"Kenai, AK",60.57333333,-151.2447222
ENC,Nancy Essey,"Nancy, France",48.69277778,6.23194444
END,Vance AFB,"Enid, OK",36.33972222,-97.91722222
ENL,Centralia Municipal,"Centralia, IL",38.515,-89.09111111
ENN,Nenana Municipal,"Nenana, AK",64.54888889,-149.0744444
ENQ,Coronel Enrique Soto Cano AB,"Comayagua, Honduras",14.3825,-87.62111111
ENS,Twente,"Enschede, Netherlands",52.27583333,6.8725
ENU,Akanu Ibiam International,"Enugu, Nigeria",6.47361111,7.55888889
ENV,Wendover Airport,"Wendover, UT",40.71861111,-114.0286111
ENW,Kenosha Regional,"Kenosha, WI",42.59555556,-87.92777778
EOH,Olaya Herrera,"Medellin, Colombia",6.22,-75.59055556
EOK,Keokuk Municipal,"Keokuk, IA",40.46,-91.42861111
EPH,Ephrata Municipal,"Ephrata/Moses Lake, WA",47.30805556,-119.5169444
EPL,Epinal Mirecourt,"Epinal, France",48.325,6.07
EPN,Epena Airport,"Epena, Congo (Brazaville)",1.37305556,17.47361111
EPR,Esperance Airport,"Esperance, Australia",-33.68222222,121.8219444
EQS,Esquel Airport,"Esquel, Argentina",-42.90388889,-71.13555556
ERA,Erigavo Airport,"Erigavo, Somalia",10.64138889,47.38694444
ERC,Erzincan Airport,"Erzincan, Turkey",39.71111111,39.52694444
ERD,Berdyansk Airport,"Berdyansk, Ukraine",46.73333333,36.78333333
ERF,Erfurt Weimar,"Erfurt, Germany",50.97972222,10.95805556
ERI,Erie International/Tom Ridge Field,"Erie, PA",42.08305556,-80.17388889
ERM,Erechim Airport,"Erechim, Brazil",-27.66333333,-52.27166667
ERN,Eirunepe Airport,"Eirunepe, Brazil",-6.63944444,-69.87972222
ERS,Eros,"Windhoek, Namibia",-22.61222222,17.08027778
ERT,Erdenet Airport,"Erdenet, Mongolia",48.98361111,104.1502778
ERV,Kerrville Municipal/Louis Schreiner Field,"Kerrville, TX",29.97666667,-99.08555556
ERZ,Erzurum Airport,"Erzurum, Turkey",39.95638889,41.17027778
ES1,Getafe,"Madrid, Spain",40.29416667,-3.72361111
ESA,Esa'ala Airport,"Esa'ala, Papua New Guinea",-9.87388889,150.9541667
ESB,Esenboga,"Ankara, Turkey",40.12805556,32.995
ESC,Delta County,"Escanaba, MI",45.72277778,-87.09361111
ESD,Orcas Island,"Eastsound, WA",48.70833333,-122.9105556
ESE,General Alberto L Salinas Carranza,"Ensenada, Mexico",31.79527778,-116.6027778
ESF,Esler Regional,"Alexandria, LA",31.395,-92.29583333
ESM,Coronel Carlos Concha Torres,"Esmeraldas, Ecuador",0.97777778,-79.62666667
ESN,Easton/Newnam Field,"Easton, MD",38.80416667,-76.06888889
ESP,Stroudsburg Pocono,"Stroudsburg, PA",41.03583333,-75.16055556
ESR,Ricardo Garcia Posada,"El Salvador, Chile",-26.31111111,-69.76527778
ESS,Essen Muelheim,"Essen, Germany",51.40305556,6.93916667
ETH,Eilat Airport,"Eilat, Israel",29.56,34.95972222
ETN,Eastland Municipal,"Eastland, TX",32.415,-98.80972222
ETS,Enterprise Municipal,"Enterprise, AL",31.29972222,-85.89972222
ETZ,Metz Nancy Lorraine,"Metz/Nancy, France",48.98027778,6.24888889
EUA,Eua Airport,"Eua, Tonga",-21.3775,-174.9577778
EUE,Eureka Airport,"Eureka, NV",39.60361111,-116.0036111
EUF,Weedon Field,"Eufaula, AL",31.95138889,-85.12888889
EUG,Mahlon Sweet Field,"Eugene, OR",44.12444444,-123.2119444
EUN,Hassan I International,"Laayoune, Morocco",27.14361111,-13.22527778
